Text,Score
                            أفاد نادي لوتون تاون الإنجليزي لكرة القدم، بأن لاعبه توم لوكيير ما زال في المستشفى، ويخضع للاختبارات والفحوصات بعد تعرضه لسكتة قلبية، خلال المباراة أمام بورنموث، يوم السبت الماضي.                         ,7.7
                            خطف السباحون والسباحات الروس الأضواء، خلال مشاركتهم في مسابقة عرض الأزياء، وذلك ضمن بطولة كأس سالنيكوف للسباحة، التي تستضيفها مدينة سان بطرسبورغ الروسية.                         ,3.9
                            أسفرت قرعة ملحق مسابقة الدوري الأوروبي، التي جرى سحبها اليوم الاثنين، في مقر الاتحاد الأوروبي بمدينة نيون السويسرية، عن مباريات مثيرة أبرزها مواجهة فينورد الهولندي وروما الإيطالي.                         ,5.1
                            كشف البرتغالي جوزيه مورينيو المدير الفني لروما، مفاجأة بخصوص المصري محمد صلاح نجم ليفربول.                         ,3.0
                            أسفرت قرعة ثمن نهائي دوري أبطال أوروبا، والمقامة حاليا في مدينة نيون السويسرية، عن مواجهة معقدة لبرشلونة، ومواجهات سهلة لمانشستر سيتي، ريال مدريد، وبايرن ميونخ، وباريس سان جيرمان.                         ,6.0
"                            تم طرد ديوغو دالوت، لاعب مانشستر يونايتد، خلال مواجهة الفريق لمنافسه ليفربول، على أرض ملعب ""أنفيلد""، الأحد، ضمن منافسات الدوري الإنجليزي الممتاز (البريميرليغ).                         ",5.5
                            أعلن الاتحاد الدولي للشطرنج، الأحد، استضافة العاصمة الإماراتية أبوظبي أولمبياد الشطرنج 2028.                         ,1.2
                            توج المنتخب المصري للإسكواش بلقب بطولة العالم بعد تغلبه على نظيره الإنجليزي في نهائي البطولة التي استضافتها نيوزيلندا خلال الفترة بين 11 إلى 17 ديسمبر الجاري.                         ,7.4
                            عاش المدافع المغربي أشرف حكيمي لحظة تاريخية بمشاركته في مباراة باريس سان جيرمان ضد ليل، خلال التعادل مع صاحب الأرض 1-1 مساء أمس الأحد، ضمن منافسات الدوري الفرنسي لكرة القدم.                         ,9.4
                            أعلن البطل الأولمبي الروسي يفغيني ريلوف رفضه المشاركة في دورة الألعاب الأولمبية 2024 تحت شروط اللجنة الأولمبية الدولية.                         ,2.6
                            صدر تعليق من مسؤول في اللجنة الأولمبية الدولية، مرة أخرى عن قبول الروس في دورة الألعاب الأولمبية باريس 2024.                         ,2.7
"                            استحدث الاتحاد الدولي لكرة القدم ""فيفا""، الأحد، بطولة جديدة للأندية أبطال القارات، لتحل محل كأس العالم للأندية بنظامها الحالي.                         ",6.7
                            سجل الجناح إبراهيم دياز هدفا عالميا لفريقه ريال مدريد في شباك فياريال خلال مباراة جمعت الفريقين يوم الأحد في المرحلة الـ17 من الدوري الإسباني.                         ,5.6
                            أبدى المدير الفني لنادي ليفربول، الألماني يورغن كلوب، استياءه من تضييع لاعبيه للفرص السانحة خلال مواجهة مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من الدوري الإنجليزي.                         ,6.7
"                            فشل نادي ليفربول في استعادة صدارة الدوري الإنجليزي من أرسنال بتعثره بنتيجة التعادل السلبي مع ضيفه وغريمه مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من ""لبريمير ليغ"".                         ",7.6
"                            رد نجم نادي الهلال، سلمان الفرج على مدربه البرتغالي جورجي جيسوس الذي استبعده من مواجهة ""الزعيم"" ضد الوحدة، الجمعة الماضي لحساب الأسبوع الـ17 من دوري روشن السعودي للمحترفين.                         ",6.0
"                            استعاد أرسنال توازنه والصدارة مؤقتا بفوزه على ضيفه برايتون 2-0 الأحد على ملعب ""الإمارات"" في لندن في المرحلة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم.                         ",8.1
                            تتجه أنظار عشاق كرة القدم، مساء اليوم الاثنين، صوب مدينة جدة السعودية، التي تحتضن المباراة المرتقبة بين فريقي الأهلي المصري وفلومينينسي البرازيلي، ضمن بطولة كأس العالم للأندية.                         ,8.3
"                            رفضت اللاعبة الأوكرانية مارتا كاستيوك مواجهة جارتها الروسية ميرا أندرييفا، في المباراة النهائية لبطولة ""Negometal Open"" الاستعراضية للتنس للسيدات، في فرنسا.                         ",7.7
"                            وجه نادي الأهلي المصري رسالة شكر للسعودية على ""حفاوة الاستقبال""، مؤكدا على ثقته بأن الجماهير السعودية ستسانده في مشواره ضمن بطولة كأس العالم للأندية لكرة القدم، المقامة في الرياض.                         ",9.3
                            أفاد نادي لوتون تاون الإنجليزي لكرة القدم، بأن لاعبه توم لوكيير ما زال في المستشفى، ويخضع للاختبارات والفحوصات بعد تعرضه لسكتة قلبية، خلال المباراة أمام بورنموث، يوم السبت الماضي.                         ,7.7
                            خطف السباحون والسباحات الروس الأضواء، خلال مشاركتهم في مسابقة عرض الأزياء، وذلك ضمن بطولة كأس سالنيكوف للسباحة، التي تستضيفها مدينة سان بطرسبورغ الروسية.                         ,3.9
                            أسفرت قرعة ملحق مسابقة الدوري الأوروبي، التي جرى سحبها اليوم الاثنين، في مقر الاتحاد الأوروبي بمدينة نيون السويسرية، عن مباريات مثيرة أبرزها مواجهة فينورد الهولندي وروما الإيطالي.                         ,5.1
                            كشف البرتغالي جوزيه مورينيو المدير الفني لروما، مفاجأة بخصوص المصري محمد صلاح نجم ليفربول.                         ,3.0
                            أسفرت قرعة ثمن نهائي دوري أبطال أوروبا، والمقامة حاليا في مدينة نيون السويسرية، عن مواجهة معقدة لبرشلونة، ومواجهات سهلة لمانشستر سيتي، ريال مدريد، وبايرن ميونخ، وباريس سان جيرمان.                         ,6.0
"                            تم طرد ديوغو دالوت، لاعب مانشستر يونايتد، خلال مواجهة الفريق لمنافسه ليفربول، على أرض ملعب ""أنفيلد""، الأحد، ضمن منافسات الدوري الإنجليزي الممتاز (البريميرليغ).                         ",5.5
                            أعلن الاتحاد الدولي للشطرنج، الأحد، استضافة العاصمة الإماراتية أبوظبي أولمبياد الشطرنج 2028.                         ,1.2
                            توج المنتخب المصري للإسكواش بلقب بطولة العالم بعد تغلبه على نظيره الإنجليزي في نهائي البطولة التي استضافتها نيوزيلندا خلال الفترة بين 11 إلى 17 ديسمبر الجاري.                         ,7.4
                            عاش المدافع المغربي أشرف حكيمي لحظة تاريخية بمشاركته في مباراة باريس سان جيرمان ضد ليل، خلال التعادل مع صاحب الأرض 1-1 مساء أمس الأحد، ضمن منافسات الدوري الفرنسي لكرة القدم.                         ,9.4
                            أعلن البطل الأولمبي الروسي يفغيني ريلوف رفضه المشاركة في دورة الألعاب الأولمبية 2024 تحت شروط اللجنة الأولمبية الدولية.                         ,2.6
                            صدر تعليق من مسؤول في اللجنة الأولمبية الدولية، مرة أخرى عن قبول الروس في دورة الألعاب الأولمبية باريس 2024.                         ,2.7
"                            استحدث الاتحاد الدولي لكرة القدم ""فيفا""، الأحد، بطولة جديدة للأندية أبطال القارات، لتحل محل كأس العالم للأندية بنظامها الحالي.                         ",6.7
                            سجل الجناح إبراهيم دياز هدفا عالميا لفريقه ريال مدريد في شباك فياريال خلال مباراة جمعت الفريقين يوم الأحد في المرحلة الـ17 من الدوري الإسباني.                         ,5.6
                            أبدى المدير الفني لنادي ليفربول، الألماني يورغن كلوب، استياءه من تضييع لاعبيه للفرص السانحة خلال مواجهة مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من الدوري الإنجليزي.                         ,6.7
"                            فشل نادي ليفربول في استعادة صدارة الدوري الإنجليزي من أرسنال بتعثره بنتيجة التعادل السلبي مع ضيفه وغريمه مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من ""لبريمير ليغ"".                         ",7.6
"                            رد نجم نادي الهلال، سلمان الفرج على مدربه البرتغالي جورجي جيسوس الذي استبعده من مواجهة ""الزعيم"" ضد الوحدة، الجمعة الماضي لحساب الأسبوع الـ17 من دوري روشن السعودي للمحترفين.                         ",6.0
"                            استعاد أرسنال توازنه والصدارة مؤقتا بفوزه على ضيفه برايتون 2-0 الأحد على ملعب ""الإمارات"" في لندن في المرحلة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم.                         ",8.1
                            أعلن المدير الفني لنادي ليفربول، الألماني يورغن كلوب، تشكيلة فريقه لمواجهة ضيفه مانشستر يونايتد، يوم الأحد، في قمة المرحلة الـ17 من الدوري الإنجليزي الممتاز.                         ,5.6
                            توج باريس سان جيرمان بطلا للخريف في الدوري الفرنسي لكرة القدم قبل مواجهته ضد ليل مساء اليوم الأحد، وذلك لخسارة مطارده المباشر نيس أمام لوهافر 1-3 في المرحلة الـ16.                         ,6.9
                            حقق نادي ميلان فوزا كبيرا على ضيفه مونزا بثلاثية دون رد في مباراة جمعتهما يوم الأحد لحساب المرحلة الـ16 من الدوري الإيطالي لكرة القدم.                         ,8.8
"                            فرض الاتحاد الدولي لكرة القدم ""فيفا""، عقوبة مالية على نادي الأهلي المصري، وذلك عقب فوزه أمام الاتحاد السعودي 3-1 الجمعة الماضي في الدور ربع النهائي لمونديال الأندية.                         ",8.3
                            وصل فريق مانشستر سيتي الإنجليزي صباح يوم الأحد إلى مدينة جدة السعودية للمشاركة في بطولة كأس العالم للأندية لكرة القدم.                         ,6.8
"                            يواجه الأهلي المصري معضلة ""تاريخية"" عندما يلعب ضد فلوميننسي البرازيلي غدا الاثنين على ملعب مدينة الملك عبد الله الرياضية في جدة، وذلك في نصف نهائي مونديال الأندية.                         ",5.9
                            علق مدرب مانشستر سيتي، الإسباني بيب غوارديولا على تعثر فريقه بنتيجة 2-2 أمام ضيفه كريستال بالاس، أمس السبت في المرحلة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم.                         ,7.5
                            خطف المهاجم النيجيري فيكتور أوسيمين، الأنظار في لقاء فريقه نابولي ضد ضيفه كالياري (2-1) أمس السبت في المرحلة الـ16 من الدوري الإيطالي، بتسجيله لهدف وصناعته للثاني بطريقة مذهلة.                         ,4.4
                            أقال نادي إشبيلية مدربه الأوروغوياني دييغو ألونسو، بعد الهزيمة 0-3 على أرضه أمام خيتافي في الدوري الإسباني لكرة القدم أمس السبت.                         ,7.7
"                            تتجه أنظار عشاق كرة القدم، مساء اليوم الأحد إلى ملعب ""أنفيلد"" الذي سيكون مسرحا لموقعة ليفربول وضيفه مانشستر يونايتد في قمة المرحلة الـ17 من الدوري الإنجليزي الممتاز.                         ",7.5
                            تتجه أنظار عشاق كرة القدم، مساء اليوم الاثنين، صوب مدينة جدة السعودية، التي تحتضن المباراة المرتقبة بين فريقي الأهلي المصري وفلومينينسي البرازيلي، ضمن بطولة كأس العالم للأندية.                         ,8.3
"                            رفضت اللاعبة الأوكرانية مارتا كاستيوك مواجهة جارتها الروسية ميرا أندرييفا، في المباراة النهائية لبطولة ""Negometal Open"" الاستعراضية للتنس للسيدات، في فرنسا.                         ",7.7
"                            وجه نادي الأهلي المصري رسالة شكر للسعودية على ""حفاوة الاستقبال""، مؤكدا على ثقته بأن الجماهير السعودية ستسانده في مشواره ضمن بطولة كأس العالم للأندية لكرة القدم، المقامة في الرياض.                         ",9.3
                            أفاد نادي لوتون تاون الإنجليزي لكرة القدم، بأن لاعبه توم لوكيير ما زال في المستشفى، ويخضع للاختبارات والفحوصات بعد تعرضه لسكتة قلبية، خلال المباراة أمام بورنموث، يوم السبت الماضي.                         ,7.7
                            خطف السباحون والسباحات الروس الأضواء، خلال مشاركتهم في مسابقة عرض الأزياء، وذلك ضمن بطولة كأس سالنيكوف للسباحة، التي تستضيفها مدينة سان بطرسبورغ الروسية.                         ,3.9
                            أسفرت قرعة ملحق مسابقة الدوري الأوروبي، التي جرى سحبها اليوم الاثنين، في مقر الاتحاد الأوروبي بمدينة نيون السويسرية، عن مباريات مثيرة أبرزها مواجهة فينورد الهولندي وروما الإيطالي.                         ,5.1
                            كشف البرتغالي جوزيه مورينيو المدير الفني لروما، مفاجأة بخصوص المصري محمد صلاح نجم ليفربول.                         ,3.0
                            أسفرت قرعة ثمن نهائي دوري أبطال أوروبا، والمقامة حاليا في مدينة نيون السويسرية، عن مواجهة معقدة لبرشلونة، ومواجهات سهلة لمانشستر سيتي، ريال مدريد، وبايرن ميونخ، وباريس سان جيرمان.                         ,6.0
"                            تم طرد ديوغو دالوت، لاعب مانشستر يونايتد، خلال مواجهة الفريق لمنافسه ليفربول، على أرض ملعب ""أنفيلد""، الأحد، ضمن منافسات الدوري الإنجليزي الممتاز (البريميرليغ).                         ",5.5
                            أعلن الاتحاد الدولي للشطرنج، الأحد، استضافة العاصمة الإماراتية أبوظبي أولمبياد الشطرنج 2028.                         ,1.2
                            توج المنتخب المصري للإسكواش بلقب بطولة العالم بعد تغلبه على نظيره الإنجليزي في نهائي البطولة التي استضافتها نيوزيلندا خلال الفترة بين 11 إلى 17 ديسمبر الجاري.                         ,7.4
                            عاش المدافع المغربي أشرف حكيمي لحظة تاريخية بمشاركته في مباراة باريس سان جيرمان ضد ليل، خلال التعادل مع صاحب الأرض 1-1 مساء أمس الأحد، ضمن منافسات الدوري الفرنسي لكرة القدم.                         ,9.4
                            أعلن البطل الأولمبي الروسي يفغيني ريلوف رفضه المشاركة في دورة الألعاب الأولمبية 2024 تحت شروط اللجنة الأولمبية الدولية.                         ,2.6
                            صدر تعليق من مسؤول في اللجنة الأولمبية الدولية، مرة أخرى عن قبول الروس في دورة الألعاب الأولمبية باريس 2024.                         ,2.7
"                            استحدث الاتحاد الدولي لكرة القدم ""فيفا""، الأحد، بطولة جديدة للأندية أبطال القارات، لتحل محل كأس العالم للأندية بنظامها الحالي.                         ",6.7
                            سجل الجناح إبراهيم دياز هدفا عالميا لفريقه ريال مدريد في شباك فياريال خلال مباراة جمعت الفريقين يوم الأحد في المرحلة الـ17 من الدوري الإسباني.                         ,5.6
                            أبدى المدير الفني لنادي ليفربول، الألماني يورغن كلوب، استياءه من تضييع لاعبيه للفرص السانحة خلال مواجهة مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من الدوري الإنجليزي.                         ,6.7
"                            فشل نادي ليفربول في استعادة صدارة الدوري الإنجليزي من أرسنال بتعثره بنتيجة التعادل السلبي مع ضيفه وغريمه مانشستر يونايتد يوم الأحد في قمة المرحلة الـ17 من ""لبريمير ليغ"".                         ",7.6
"                            رد نجم نادي الهلال، سلمان الفرج على مدربه البرتغالي جورجي جيسوس الذي استبعده من مواجهة ""الزعيم"" ضد الوحدة، الجمعة الماضي لحساب الأسبوع الـ17 من دوري روشن السعودي للمحترفين.                         ",6.0
"                            استعاد أرسنال توازنه والصدارة مؤقتا بفوزه على ضيفه برايتون 2-0 الأحد على ملعب ""الإمارات"" في لندن في المرحلة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم.                         ",8.1
                            أعلن المدير الفني لنادي ليفربول، الألماني يورغن كلوب، تشكيلة فريقه لمواجهة ضيفه مانشستر يونايتد، يوم الأحد، في قمة المرحلة الـ17 من الدوري الإنجليزي الممتاز.                         ,5.6
                            توج باريس سان جيرمان بطلا للخريف في الدوري الفرنسي لكرة القدم قبل مواجهته ضد ليل مساء اليوم الأحد، وذلك لخسارة مطارده المباشر نيس أمام لوهافر 1-3 في المرحلة الـ16.                         ,6.9
                            حقق نادي ميلان فوزا كبيرا على ضيفه مونزا بثلاثية دون رد في مباراة جمعتهما يوم الأحد لحساب المرحلة الـ16 من الدوري الإيطالي لكرة القدم.                         ,8.8
"                            فرض الاتحاد الدولي لكرة القدم ""فيفا""، عقوبة مالية على نادي الأهلي المصري، وذلك عقب فوزه أمام الاتحاد السعودي 3-1 الجمعة الماضي في الدور ربع النهائي لمونديال الأندية.                         ",8.3
                            وصل فريق مانشستر سيتي الإنجليزي صباح يوم الأحد إلى مدينة جدة السعودية للمشاركة في بطولة كأس العالم للأندية لكرة القدم.                         ,6.8
"                            يواجه الأهلي المصري معضلة ""تاريخية"" عندما يلعب ضد فلوميننسي البرازيلي غدا الاثنين على ملعب مدينة الملك عبد الله الرياضية في جدة، وذلك في نصف نهائي مونديال الأندية.                         ",5.9
                            علق مدرب مانشستر سيتي، الإسباني بيب غوارديولا على تعثر فريقه بنتيجة 2-2 أمام ضيفه كريستال بالاس، أمس السبت في المرحلة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم.                         ,7.5
                            خطف المهاجم النيجيري فيكتور أوسيمين، الأنظار في لقاء فريقه نابولي ضد ضيفه كالياري (2-1) أمس السبت في المرحلة الـ16 من الدوري الإيطالي، بتسجيله لهدف وصناعته للثاني بطريقة مذهلة.                         ,4.4
                            أقال نادي إشبيلية مدربه الأوروغوياني دييغو ألونسو، بعد الهزيمة 0-3 على أرضه أمام خيتافي في الدوري الإسباني لكرة القدم أمس السبت.                         ,7.7
"                            تتجه أنظار عشاق كرة القدم، مساء اليوم الأحد إلى ملعب ""أنفيلد"" الذي سيكون مسرحا لموقعة ليفربول وضيفه مانشستر يونايتد في قمة المرحلة الـ17 من الدوري الإنجليزي الممتاز.                         ",7.5
                            عبر المدير الفني لنادي برشلونة، تشافي هرنانديز، عن خيبة أمله عقب تعثر فريقه بالتعادل 1-1 أمام مضيفه فالنسيا، أمس السبت، ضمن منافسات الجولة الـ17 من الدوري الإسباني لكرة القدم.                         ,8.5
                            فرض نادي فالنسيا التعادل الإيجابي بنتيجة 1-1 على ضيفه برشلونة في مباراة جمعتهما لحساب منافسات الجولة الـ17من بطولة الدوري الإسباني لكرة القدم.                         ,10.0
                            قاد الجناح الإسباني نيكو وليامز، فريقه أتلتيك بلباو لتحقيق فوز ثمين على حساب ضيفه أتلتيكو مدريد بهدفين دون رد يوم السبت ضمن منافسات المرحلة الـ17 من الدوري الإسباني لكرة القدم.                         ,7.8
                            أعلن لوتون تاون تعرض قائده توم لوكيير، لسكتة قلبية في المباراة التي كانت تجمعه بنادي بورنموث يوم السبت في الجولة الـ17 من الدوري الإنجليزي والتي تم تعليقها بسبب هذا الحادث الطبي.                         ,6.3
                            سقط مانشستر سيتي حامل اللقب في فخ التعادل 2-2 مع ضيفه كريستال بالاس في مباراة جمعتهما يوم  السبت ضمن المرحلة الـ17 من بطولة الدوري الإنجليزي الممتاز لكرة القدم.                         ,10.0
"                            توقفت مباراة بورنموث ولوتون تاون المقامة الآن على ملعب ""فيتاليتي"" لحساب الجولة الـ17 من الدوري الإنجليزي الممتاز لكرة القدم بعد سقوط توم لوكيير، قائد لوتون تاون، بشكل مفاجئ.                         ",7.6
                            كشف مدرب نادي الهلال، جورج جيسوس، سبب استبعاده قائد فريقه سلمان الفرج، من مواجهة الوحدة أمس الجمعة لحساب الأسبوع الـ17 من دوري روشن السعودي للمحترفين.                         ,4.9
                            واصل المدير الفني لنادي باريس سان جيرمان، الإسباني لويس إنريكي، سياسته بتوجيه رسائل شديدة اللهجة لنجم فريقه، الدولي الفرنسي كيليان مبابي.                         ,3.7
                            اعتذر مدافع الأهلي المصري، التونسي علي معلول عن سوء الفهم الذي حدث، بسبب احتفاله بهدفه في مرمى الاتحاد السعودي خلال مباراة الفريقين أمس الجمعة في ربع نهائي مونديال الأندية.                         ,5.3
                            حقق توتنهام فوزه الثاني تواليا حيث يستمر في سعيه لاحتلال أحد المراكز الأربعة الأولى وذلك بفوزه على نونتغهام فوريست 2-0  في افتتاح المرحلة الـ17 من الدوري الإنجليزي لكرة القدم.                         ,7.7
                            تتجه أنظار عشاق كرة القدم، مساء اليوم الاثنين، صوب مدينة جدة السعودية، التي تحتضن المباراة المرتقبة بين فريقي الأهلي المصري وفلومينينسي البرازيلي، ضمن بطولة كأس العالم للأندية.                         ,8.3
"                            رفضت اللاعبة الأوكرانية مارتا كاستيوك مواجهة جارتها الروسية ميرا أندرييفا، في المباراة النهائية لبطولة ""Negometal Open"" الاستعراضية للتنس للسيدات، في فرنسا.                         ",7.7
"                            وجه نادي الأهلي المصري رسالة شكر للسعودية على ""حفاوة الاستقبال""، مؤكدا على ثقته بأن الجماهير السعودية ستسانده في مشواره ضمن بطولة كأس العالم للأندية لكرة القدم، المقامة في الرياض.                         ",9.3
                            أفاد نادي لوتون تاون الإنجليزي لكرة القدم، بأن لاعبه توم لوكيير ما زال في المستشفى، ويخضع للاختبارات والفحوصات بعد تعرضه لسكتة قلبية، خلال المباراة أمام بورنموث، يوم السبت الماضي.                         ,7.7
                            خطف السباحون والسباحات الروس الأضواء، خلال مشاركتهم في مسابقة عرض الأزياء، وذلك ضمن بطولة كأس سالنيكوف للسباحة، التي تستضيفها مدينة سان بطرسبورغ الروسية.                         ,3.9
                            أسفرت قرعة ملحق مسابقة الدوري الأوروبي، التي جرى سحبها اليوم الاثنين، في مقر الاتحاد الأوروبي بمدينة نيون السويسرية، عن مباريات مثيرة أبرزها مواجهة فينورد الهولندي وروما الإيطالي.                         ,5.1
                            كشف البرتغالي جوزيه مورينيو المدير الفني لروما، مفاجأة بخصوص المصري محمد صلاح نجم ليفربول.                         ,3.0
                            أسفرت قرعة ثمن نهائي دوري أبطال أوروبا، والمقامة حاليا في مدينة نيون السويسرية، عن مواجهة معقدة لبرشلونة، ومواجهات سهلة لمانشستر سيتي، ريال مدريد، وبايرن ميونخ، وباريس سان جيرمان.                         ,6.0
